sku,product.attribute_set,sap_sku,vendor_sku,klikmro_sku,brand,brand_id,name,short_description,description,mfr_no,benefit,features,spesification,searching_related,standard_certificate,type,shipping_method,shipping_package,product.type,stock.is_in_stock,status,visibility,tax_class_id,stock.qty,consignment_stock,delivery,gross_weight,netto_weight,weight_uom,dimension_length,dimension_width,dimension_height,dimension_uom,dimension_unit,volume,category.ids,hierarchy_node,merchandise_category,vendor_id,warranty,sales_uom,pdt,lead_time,item,includes,for_use_with,material,size
A-100,I150091003,,A-100,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-100,GREEN SEAL BANDO 12.7MM A-100,GREEN SEAL BANDO A-100,A-100,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 100 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.304 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3648,0.304,KG,20,20,10,CM,2540 X 12.7 X 8 MM,258.06,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-101,I150091003,,A-101,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-101,GREEN SEAL BANDO 12.7MM A-101,GREEN SEAL BANDO A-101,A-101,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 101 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.307 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3684,0.307,KG,20,20,10,CM,2565.4 X 12.7 X 8 MM,260.64,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-102,I150091003,,A-102,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-102,GREEN SEAL BANDO 12.7MM A-102,GREEN SEAL BANDO A-102,A-102,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 102 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.31 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.372,0.31,KG,20,20,10,CM,2590.8 X 12.7 X 8 MM,263.23,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-103,I150091003,,A-103,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-103,GREEN SEAL BANDO 12.7MM A-103,GREEN SEAL BANDO A-103,A-103,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 103 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.313 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3756,0.313,KG,20,20,10,CM,2616.2 X 12.7 X 8 MM,265.81,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-104,I150091003,,A-104,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-104,GREEN SEAL BANDO 12.7MM A-104,GREEN SEAL BANDO A-104,A-104,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 104 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.316 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3792,0.316,KG,20,20,10,CM,2641.6 X 12.7 X 8 MM,268.39,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-105,I150091003,,A-105,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-105,GREEN SEAL BANDO 12.7MM A-105,GREEN SEAL BANDO A-105,A-105,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 105 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.32 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.384,0.32,KG,20,20,10,CM,2667 X 12.7 X 8 MM,270.97,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-106,I150091003,,A-106,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-106,GREEN SEAL BANDO 12.7MM A-106,GREEN SEAL BANDO A-106,A-106,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 106 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.323 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3876,0.323,KG,20,20,10,CM,2692.4 X 12.7 X 8 MM,273.55,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-107,I150091003,,A-107,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-107,GREEN SEAL BANDO 12.7MM A-107,GREEN SEAL BANDO A-107,A-107,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 107 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.326 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3912,0.326,KG,20,20,10,CM,2717.8 X 12.7 X 8 MM,276.13,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-108,I150091003,,A-108,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-108,GREEN SEAL BANDO 12.7MM A-108,GREEN SEAL BANDO A-108,A-108,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 108 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.329 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3948,0.329,KG,20,20,10,CM,2743.2 X 12.7 X 8 MM,278.71,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
A-109,I150091003,,A-109,,BANDO,BAND,GREEN SEAL BANDO 12.7MM A-109,GREEN SEAL BANDO 12.7MM A-109,GREEN SEAL BANDO A-109,A-109,"<li> V-shaped natural rubber
<li> More flexible than Red Seal type","<li> Applied for easy loading machine
<li> Used in medium temperature
<li> High degree of abrasiveness","<li> Material: Natural rubber
<li> Length: 109 INC
<li> Width 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM
<li> Weight: 0.332 KG","bando, v belt, pullet belt, belt, bando belt",-,Green Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3984,0.332,KG,20,20,10,CM,2768.6 X 12.7 X 8 MM,281.29,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Natural rubber,12.7 MM
