sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1001002855-570386,FESTO,PLASTIC TUBING PUN-H-14X2-BL,10.417,50,50,25,CM,62500
1001002785-19-024-8,ANSELL,CHEMICAL GLOVES SCORPIO 19-024-8,12.056,570,470,270,MM,72333
1001002785-19-024-10,ANSELL,CHEMICAL GLOVES SCORPIO 19-024-10,12.056,570,470,270,MM,72333
1001002855-570390,FESTO,PLASTIC TUBING PUN-14X2-BL,10.417,50,50,25,CM,62500
1001002855-570389,FESTO,PLASTIC TUBING PUN-14X2-SI,10.417,50,50,25,CM,62500
1001002810-0601B201K0,BOSCH,MITRE SAW BENCH GCM 10 M,20.979,472,472,565,MM,125872.96
1001002794-IR-JRD30-B,INGERSOLL RAND,ROCKDRILL IR-JRD30-B,20.215,495,495,495,MM,121287.375
1001002794-77-174,STANLEY,MW40M COUNTER MEASURING WHEEL 77-174,5.363,650,330,150,MM,32175
1001000368-WBTK-8L,GETRA,WATER BOILER 1800W WBTK-8L,7.560,18,40,63,CM,45360
1001002785-08-354-8,ANSELL,CHEMICAL GLOVES SCORPIO 08-354-8,20.449,715,520,330,MM,122694
1001002785-08-354-9,ANSELL,CHEMICAL GLOVES SCORPIO 08-354-9,20.449,715,520,330,MM,122694
1001002785-08-354-10,ANSELL,CHEMICAL GLOVES SCORPIO 08-354-10,20.449,715,520,330,MM,122694
1001002814-SINGLE WIRE 1x30,FEDERAL CABLE,CABLE SINGLE WIRE 1X30,7.500,50000,30,30,MM,45000
1002005855-200238000001,FOMAC,WATER BOILER 14.5L,8.895,380,265,530,MM,53371
1001002794-43-572-20,STANLEY,FATMAX II LEVEL 3 72INC VIAL 43-572-20,5.207,1829,28,610,MM,31239.32
1001000368-AB-100,GEA,CHEST FREEZER 102L AB-100,41.990,57,52,85,CM,251940
1001002810-0601B290K0,BOSCH,MITRE SAW BENCH GCM 10 MX,20.801,470,470,565,MM,124808.5
1001002794-93-224-1-23,STANLEY,NYLON TOOL BAG T1-450 93-224-1-23,5.175,450,230,300,MM,31050
1001002796-7100002704,3M,SPORT ADJ KNEE STABILIZER 47550EN,3.925,438.94,294.16,182.4,MM,23551.23089
1001002794-77-175,STANLEY,MW-20M MEASURING WHEEL 77-175,4.667,700,200,200,MM,28000
1001002785-42-474-8,ANSELL,HEAT RESIST. GLOVE CRSADER FLEX 42-474-8,17.940,650,460,360,MM,107640
1001002785-42-474-9,ANSELL,HEAT RESIST. GLOVE CRSADER FLEX 42-474-9,17.940,650,460,360,MM,107640
1001002785-42-474-10,ANSELL,HEAT RESIST. GLOVE CRSADR FLEX 42-474-10,17.940,650,460,360,MM,107640
1001002794-93-546-23,STANLEY,DRAWER (6) TOP CHEST(Y/B) 93-546-23,12.723,660,306,378,MM,76340.88
1001002794-29-823-23,STANLEY,CHALLENGER PAINT SET 29-823-23,3.920,300,280,280,MM,23520
1001002796-7000001544,3M,SPORT WRAP ARND WRIST SPPRT BLK-46378EN,3.925,438.94,294.16,182.4,MM,23551.23089
1001002796-7000042788,3M,SPORT ADJ WRIST SUPPORT 09033EN,3.925,438.94,294.16,182.4,MM,23551.23089
1001002796-7000048027,3M,SPORT ADJ ANKLE SUPPORT 09037EN,3.925,438.94,294.16,182.4,MM,23551.23089
1001002796-7100002696,3M,SPORT ADJ KNEE SUPPORT 09039ENT,3.925,438.94,294.16,182.4,MM,23551.23089
